Group	Comparison	log2FC	padj	AvgIntensity	Gene	significant
NrasQ61K	NrasQ61K__vs__GFP8ng	1.4450028077156	0.00200782019783263	11.0943791299945	AFDN	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	3.77261549796038	7.04813548333352e-06	10.2143387697591	ARAF	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	0.121122449745534	0.573465472260635	10.3812634312109	ARAP3	0
NrasQ61K	NrasQ61K__vs__GFP8ng	3.35461768829828	3.12626332549383e-05	9.48193930416985	BRAF	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	0.282962719184566	0.360207061213143	8.79883995752241	KRIT1	0
NrasQ61K	NrasQ61K__vs__GFP8ng	1.66462511862454	1.70528735433091e-07	10.4718806744983	PIK3CA	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	1.36442918923143	0.0544458612168819	11.4343009792474	PIK3CD	0
NrasQ61K	NrasQ61K__vs__GFP8ng	0.342367980832411	0.0054713979260521	9.84229351946136	PIK3R1	0
NrasQ61K	NrasQ61K__vs__GFP8ng	0.371146540641662	0.000633405237036169	9.16869050366267	PIK3R2	0
NrasQ61K	NrasQ61K__vs__GFP8ng	0.00591179844882734	0.965990289823197	9.48758668780705	PIK3R3	0
NrasQ61K	NrasQ61K__vs__GFP8ng	1.06237250986068	0.0182722047896113	9.24839417347124	PLCE1	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	2.89830068108733	4.09782032027463e-08	9.38212805471298	RADIL	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	4.7732150795035	1.22280171553535e-10	10.7785156128442	RAF1	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	1.24707144905347	0.000113486771028889	11.5430354430114	RALGDS	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	0.0435749877182791	0.786485025900976	10.108698385341	RAPGEF2	0
NrasQ61K	NrasQ61K__vs__GFP8ng	0.459289879802295	0.295708333022108	8.91654201929864	RAPGEF4	0
NrasQ61K	NrasQ61K__vs__GFP8ng	0.229075779729014	0.123945389839738	8.787222189207	RAPGEF6	0
NrasQ61K	NrasQ61K__vs__GFP8ng	1.57058372126334	0.00513826919382692	10.890043002648	RASSF5	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	2.46792159836421	7.6651959246399e-05	8.52435591788929	RGL1	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	3.92936880865034	3.0869521485581e-07	9.66663525915365	RGL2	1.5
NrasQ61K	NrasQ61K__vs__GFP8ng	0.0782904832051925	0.503582978164206	8.77286177706135	SNX27	0
HrasWT	HrasWT__vs__GFP8ng	0.436711417806668	0.299741218253757	9.73364000475089	AFDN	0
HrasWT	HrasWT__vs__GFP8ng	0.868507192328351	0.0693685184130839	10.5285778064222	ARAF	0
HrasWT	HrasWT__vs__GFP8ng	0.422048163239102	0.0307997554093045	7.53624489871058	ARAP3	0
HrasWT	HrasWT__vs__GFP8ng	0.989339422315667	0.0544292827517689	8.5069509741223	BRAF	0
HrasWT	HrasWT__vs__GFP8ng	-0.0223482700539673	0.958666109111631	10.442612125469	KRIT1	0
HrasWT	HrasWT__vs__GFP8ng	0.346709388448828	0.0209678173550843	8.13344050764457	PIK3CA	0
HrasWT	HrasWT__vs__GFP8ng	0.269069371557132	0.760280995122455	8.32758159149925	PIK3CD	0
HrasWT	HrasWT__vs__GFP8ng	-0.25857495552589	0.0215254020794802	9.83662884037758	PIK3R1	0
HrasWT	HrasWT__vs__GFP8ng	-0.091560430097366	0.354020408817354	9.19421419716946	PIK3R2	0
